Round,Date,Home Team,Score,Away Team,Venue
1,"Saturday 23 April,0",Melbourne Vixens,58–42,Central Pulse,"Hisense Arena Melbourne"
1,"Monday 28 February,0",West Coast Fever,38–62,Queensland Firebirds,"Challenge Stadium Perth"
1,"Thursday 7 April,0",Canterbury Tactix,45–58,Northern Mystics,"Vector Arena Auckland"
1,"Sunday 24 April,0",Adelaide Thunderbirds,36–55,Waikato Bay of Plenty Magic,"ETSA Park Adelaide"
1,"Thursday 21 April,0",Southern Steel,39–40,New South Wales Swifts,"Edgar Centre Dunedin"
2,"Monday 14 March,0",New South Wales Swifts,54–45,Canterbury Tactix,"State Sports Centre Sydney"
2,"Thursday 31 March,0",Melbourne Vixens,42–52,Queensland Firebirds,"State Netball and Hockey Centre Melbourne"
2,"Sunday 13 March,0",Waikato Bay of Plenty Magic,46–47,Northern Mystics,"Mystery Creek Events Centre Hamilton"
2,"Monday 14 March,0",Southern Steel,50–44,Central Pulse,Invercargill ILT Velodrome
2,"Thursday 24 February,0",West Coast Fever,53–72,Adelaide Thunderbirds,"Challenge Stadium Perth"
3,Monday 11 April,0",West Coast Fever,54–56,Northern Mystics,"Challenge Stadium Perth"
3,"Monday 11 April,0",Waikato Bay of Plenty Magic,46–53,New South Wales Swifts,"Queen Elizabeth Youth Centre Tauranga"
3,"Sunday 20 February,0",Adelaide Thunderbirds,47–65,Melbourne Vixens,"ETSA Park Adelaide"
3,"Thursday 31 March,0",Canterbury Tactix,49–44,Southern Steel,"CBS Canterbury Arena Christchurch"
3,"Sunday 10 April,0",Central Pulse,44–61,Queensland Firebirds,"Te Rauparaha Arena Porirua"
4,"Monday 28 March,0",West Coast Fever,41–42,Waikato Bay of Plenty Magic,"Challenge Stadium Perth"
4,"Saturday 26 March,0",Northern Mystics,52–61,Queensland Firebirds,"Trusts Stadium Auckland"
4,"Monday 28 March,0",Southern Steel,52–48,Adelaide Thunderbirds,Invercargill ILT Velodrome
4,"Sunday 27 March,0",Melbourne Vixens,65–50,Canterbury Tactix,"Hisense Arena Melbourne"
4,"Sunday 27 March,0",Central Pulse,43–48,New South Wales Swifts,"TSB Bank Arena Wellington"
5,"Monday 28 February,0",Central Pulse,44–46,Waikato Bay of Plenty Magic,"TSB Bank Arena Wellington"
5,"Monday 25 April,0",Queensland Firebirds,56–54,West Coast Fever,Brisbane Convention and Exhibition Centre
5,"Monday 14 February,0",Northern Mystics,51–34,Southern Steel,"Trusts Stadium Auckland"
5,"Sunday 27 February,0",New South Wales Swifts,45–49,Melbourne Vixens,"State Sports Centre Sydney"
5,BYES: Adelaide Thunderbirds and Canterbury Tactix,,,,
6,"Saturday 9 April,0",Southern Steel,49–40,Canterbury Tactix,"Edgar Centre Dunedin"
6,"Monday 21 February,0",Queensland Firebirds,51–48,New South Wales Swifts,Brisbane Convention and Exhibition Centre
6,"Thursday 24 February,0",Northern Mystics,39–45,Waikato Bay of Plenty Magic,"Trusts Stadium Auckland"
6,"Monday 2 May,0",Adelaide Thunderbirds,59–64,West Coast Fever,"ETSA Park Adelaide"
6,BYES: Melbourne Vixens and Central Pulse,,,,,
7,"Sunday 20 March,0",Central Pulse,46–43,Canterbury Tactix,"Arena Manawatu Palmerston North"
7,"Sunday 10 April,0",Melbourne Vixens,55–53,Adelaide Thunderbirds,"Hisense Arena Melbourne"
7,"Sunday 20 February,0",Waikato Bay of Plenty Magic,51–36,Southern Steel,"Energy Events Centre Rotorua"
7,"Monday 7 March,0",New South Wales Swifts,55–51,West Coast Fever,"State Sports Centre Sydney"
7,BYES: Queensland Firebirds and Northern Mystics,,,,,
8,"Monday 7 March,0",Canterbury Tactix,56–63,Waikato Bay of Plenty Magic,"Energy Events Centre Rotorua*"
8,"Thursday 14 April,0",Queensland Firebirds,57–36,Melbourne Vixens,Brisbane Convention and Exhibition Centre
8,"Saturday 2 April,0",Northern Mystics,61–48,Central Pulse,"Trusts Stadium Auckland"
8,"Sunday 13 February,0",New South Wales Swifts,60–40,Adelaide Thunderbirds,"State Sports Centre Sydney"
8,BYES: West Coast Fever and Southern Steel,,,,,
9,"Saturday 26 February,0",Central Pulse,43–45,Southern Steel,"Te Rauparaha Arena Porirua"
9,"Saturday 12 March,0",Melbourne Vixens,70-39,West Coast Fever,"State Netball and Hockey Centre Melbourne"
9,"Sunday 24 April,0",Northern Mystics,62–43,Canterbury Tactix,"Trusts Stadium Auckland"
9,"Saturday 26 February,0",Queensland Firebirds,64–41,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
9,BYES: New South Wales Swifts and Waikato Bay of Plenty Magic,,,,,
10,"Sunday 3 April,0",Melbourne Vixens,42–33,Southern Steel,"Hisense Arena Melbourne"
10,"Sunday 3 April,0",Canterbury Tactix,56–59,Adelaide Thunderbirds,"CBS Canterbury Arena Christchurch"
10,"Monday 4 April,0",Queensland Firebirds,53–49,Waikato Bay of Plenty Magic,Brisbane Convention and Exhibition Centre
10,"Monday 18 April,0",New South Wales Swifts,53–46,Northern Mystics,"State Sports Centre Sydney"
10,"Monday 4 April,0",Central Pulse,63–61,West Coast Fever,"Te Rauparaha Arena Porirua"
11,"Monday 21 March,0",Adelaide Thunderbirds,57–55,Northern Mystics,"ETSA Park Adelaide"
11,"Sunday 20 March,0",New South Wales Swifts,53–57,Queensland Firebirds,"State Sports Centre Sydney"
11,"Monday 18 April,0",Canterbury Tactix,45–47,Central Pulse,"CBS Canterbury Arena Christchurch"
11,"Saturday 19 March,0",West Coast Fever,50–47,Southern Steel,"Challenge Stadium Perth"
11,"Monday 21 March,0",Waikato Bay of Plenty Magic,53–41,Melbourne Vixens,"Mystery Creek Events Centre Hamilton"
12,"Monday 2 May,0",Waikato Bay of Plenty Magic,60–50,Central Pulse,Taupo Events Centre
12,"Sunday 17 April,0",West Coast Fever,38–54,Melbourne Vixens,"Challenge Stadium Perth"
12,"Saturday 30 April,0",Canterbury Tactix,52–69,Queensland Firebirds,"CBS Canterbury Arena Christchurch"
12,"Sunday 1 May,0",Southern Steel,35–47,Northern Mystics,Invercargill ILT Velodrome
12,"Saturday 16 April,0",Adelaide Thunderbirds,57–53,New South Wales Swifts,"ETSA Park Adelaide"
13,"Saturday 19 February,0",Central Pulse,44–54,Northern Mystics,"Te Rauparaha Arena Porirua"
13,"Sunday 13 March,0",Adelaide Thunderbirds,42–64,Queensland Firebirds,"ETSA Park Adelaide"
13,"Monday 21 February,0",Canterbury Tactix,48–54,West Coast Fever,"CBS Canterbury Arena Christchurch"
13,"Sunday 17 April,0",Southern Steel,33–38,Waikato Bay of Plenty Magic,Invercargill ILT Velodrome
13,"Sunday 1 May,0",Melbourne Vixens,33–45,New South Wales Swifts,"Hisense Arena Melbourne"
14,"Saturday 5 March,0",Adelaide Thunderbirds,51–41,Central Pulse,"ETSA Park Adelaide"
14,"Sunday 6 March,0",Queensland Firebirds,51–36,Southern Steel,Brisbane Convention and Exhibition Centre
14,"Sunday 6 March,0",Northern Mystics,56–54,Melbourne Vixens,"Trusts Stadium Auckland"
14,"Thursday 17 March,0",West Coast Fever,49–70,New South Wales Swifts,"Challenge Stadium Perth"
14,"Thursday 14 April,0",Waikato Bay of Plenty Magic,53–49,Canterbury Tactix,"Energy Events Centre Rotorua"
15,"Monday 9 May,0",Queensland Firebirds,50-39,Waikato Bay of Plenty Magic,Gold Coast Convention and Exhibition Centre
15,"Sunday 8 May,0",New South Wales Swifts,44-49,Northern Mystics,"State Sports Centre Sydney"
16,"Sunday 15 May,0",Waikato Bay of Plenty Magic,42-43,Northern Mystics,"Mystery Creek Events Centre Hamilton"
17,"Sunday 22 May,0",Queensland Firebirds,57-44,Northern Mystics,Brisbane Convention & Exhibition Centre
